Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
1326.95,SCC,0.825421298,5.98E-35,2.043577562,6.336844369
1331.68,SCC,0.814978705,9.83E-36,2.156232197,7.113532641
1336.42,SCC,0.803751722,1.54E-36,2.251684728,7.741149906
1341.16,SCC,0.797969977,6.15E-37,2.276643614,7.787740995
1345.89,SCC,0.795306119,4.05E-37,2.293669401,7.827166006
1350.63,SCC,0.791028327,2.09E-37,2.305106428,7.802688566
1355.37,SCC,0.782936822,6.17E-38,2.360574668,8.11205374
1360.1,SCC,0.776098139,2.26E-38,2.416805292,8.433736446
1364.84,SCC,0.760577312,2.54E-39,2.521408457,9.032374981
1369.58,SCC,0.750309642,6.36E-40,2.645365259,9.90466973
1374.31,SCC,0.728971863,4.12E-41,2.811430044,11.0255707
1379.05,SCC,0.707157309,3.00E-42,2.984126235,12.20416374
1383.79,SCC,0.688279608,3.52E-43,3.115226583,13.11347319
1388.52,SCC,0.684006937,2.20E-43,3.131862043,13.10541733
1393.26,SCC,0.675113599,8.40E-44,3.191935208,13.52742043
1397.99,SCC,0.675600181,8.85E-44,3.174783694,13.28423601
1402.73,SCC,0.678491081,1.21E-43,3.130774005,12.84758624
1407.47,SCC,0.683699682,2.13E-43,3.090879111,12.58912891
1412.2,SCC,0.682271167,1.82E-43,3.06390118,12.2240489
1416.94,SCC,0.689189921,3.89E-43,3.004349417,11.73224394
1421.68,SCC,0.691694797,5.14E-43,2.960711617,11.28217633
1426.41,SCC,0.691885225,5.25E-43,2.974449098,11.52289856
1431.15,SCC,0.695855052,8.20E-43,2.919816683,10.95044529
1435.89,SCC,0.694376869,6.94E-43,2.929114239,11.08109236
1440.62,SCC,0.699293505,1.21E-42,2.880494914,10.65389838
1445.36,SCC,0.702655969,1.78E-42,2.839452928,10.31715136
